04:00:38 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:01:14 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:01:32 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:02:10 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:02:29 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:02:47 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:03:14 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:03:33 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:03:51 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:04:09 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:04:48 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:05:07 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:05:25 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:05:43 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:06:03 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:06:38 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:06:54 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:07:12 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:07:30 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:07:49 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:08:07 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:08:24 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:08:42 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:09:01 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:09:17 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:09:53 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:10:34 AM | Sunday | 04/18/2021 | FAILED ==> BUY
04:10:46 AM | Sunday | 04/18/2021 | EMA cross up ==> BUY | $0.2994011976047904
